"FederalElectoralDivison","Participation","X18.19.years","X20.24.years","X25.29.years","X30.34.years","X35.39.years","X40.44.years","X45.49.years","X50.54.years","X55.59.years","X60.64.years","X65.69.years","X70.74.years","X75.79.years","X80.84.years","X85.years.and.over","Total.Males.b.","Total.Persons"
"Banks","Participation rate (%)"," 77.0 "," 73.3 "," 72.3 "," 69.1 "," 71.1 "," 74.8 "," 78.7 "," 78.8 "," 81.5 "," 83.5 "," 87.5 "," 89.9 "," 89.1 "," 88.3 "," 83.2 "," 78.5 "," 80.1 "
"Barton","Total participants"," 977 "," 3,047 "," 3,231 "," 3,678 "," 3,667 "," 3,673 "," 3,744 "," 3,610 "," 3,291 "," 2,948 "," 2,720 "," 2,293 "," 1,775 "," 1,323 "," 1,111 "," 41,088 "," 85,363 "
"Barton","Eligible participants"," 1,278 "," 4,186 "," 4,594 "," 5,305 "," 5,176 "," 4,935 "," 4,852 "," 4,562 "," 4,162 "," 3,670 "," 3,245 "," 2,685 "," 1,999 "," 1,599 "," 1,368 "," 53,616 "," 109,371 "
"Barton","Participation rate (%)"," 76.4 "," 72.8 "," 70.3 "," 69.3 "," 70.8 "," 74.4 "," 77.2 "," 79.1 "," 79.1 "," 80.3 "," 83.8 "," 85.4 "," 88.8 "," 82.7 "," 81.2 "," 76.6 "," 78.0 "
"Bennelong","Total participants"," 1,177 "," 3,356 "," 3,106 "," 3,245 "," 3,404 "," 3,405 "," 3,563 "," 3,742 "," 3,657 "," 3,301 "," 2,863 "," 2,124 "," 1,620 "," 1,221 "," 1,195 "," 40,979 "," 86,402 "
"Bennelong","Eligible participants"," 1,488 "," 4,492 "," 4,316 "," 4,580 "," 4,792 "," 4,463 "," 4,456 "," 4,586 "," 4,367 "," 3,830 "," 3,239 "," 2,351 "," 1,785 "," 1,371 "," 1,422 "," 51,538 "," 106,375 "
"Bennelong","Participation rate (%)"," 79.1 "," 74.7 "," 72.0 "," 70.9 "," 71.0 "," 76.3 "," 80.0 "," 81.6 "," 83.7 "," 86.2 "," 88.4 "," 90.3 "," 90.8 "," 89.1 "," 84.0 "," 79.5 "," 81.2 "
"Berowra","Total participants"," 1,523 "," 3,767 "," 2,687 "," 2,241 "," 2,594 "," 3,439 "," 3,852 "," 4,073 "," 4,209 "," 3,736 "," 3,235 "," 2,799 "," 1,841 "," 1,212 "," 1,085 "," 42,293 "," 89,052 "
"Berowra","Eligible participants"," 1,916 "," 4,808 "," 3,541 "," 2,934 "," 3,397 "," 4,405 "," 4,760 "," 4,832 "," 4,891 "," 4,221 "," 3,569 "," 3,033 "," 1,999 "," 1,308 "," 1,225 "," 50,839 "," 105,090 "
"Berowra","Participation rate (%)"," 79.5 "," 78.3 "," 75.9 "," 76.4 "," 76.4 "," 78.1 "," 80.9 "," 84.3 "," 86.1 "," 88.5 "," 90.6 "," 92.3 "," 92.1 "," 92.7 "," 88.6 "," 83.2 "," 84.7 "
"Blaxland","Total participants"," 1,152 "," 3,530 "," 3,204 "," 3,216 "," 3,161 "," 3,108 "," 3,196 "," 3,328 "," 3,388 "," 2,965 "," 2,622 "," 2,182 "," 1,428 "," 950 "," 891 "," 38,321 "," 78,552 "
"Blaxland","Eligible participants"," 1,555 "," 4,968 "," 4,653 "," 4,764 "," 4,648 "," 4,424 "," 4,398 "," 4,443 "," 4,451 "," 3,772 "," 3,119 "," 2,585 "," 1,692 "," 1,132 "," 1,142 "," 51,746 "," 104,435 "
"Blaxland","Participation rate (%)"," 74.1 "," 71.1 "," 68.9 "," 67.5 "," 68.0 "," 70.3 "," 72.7 "," 74.9 "," 76.1 "," 78.6 "," 84.1 "," 84.4 "," 84.4 "," 83.9 "," 78.0 "," 74.1 "," 75.2 "
"Bradfield","Total participants"," 1,503 "," 3,384 "," 2,556 "," 2,197 "," 2,897 "," 3,432 "," 4,034 "," 4,025 "," 3,914 "," 3,091 "," 2,847 "," 2,636 "," 1,976 "," 1,482 "," 1,545 "," 41,519 "," 88,810 "
"Bradfield","Eligible participants"," 1,826 "," 4,326 "," 3,395 "," 3,121 "," 3,898 "," 4,398 "," 4,987 "," 4,790 "," 4,540 "," 3,548 "," 3,193 "," 2,892 "," 2,130 "," 1,610 "," 1,740 "," 50,394 "," 106,071 "
"Bradfield","Participation rate (%)"," 82.3 "," 78.2 "," 75.3 "," 70.4 "," 74.3 "," 78.0 "," 80.9 "," 84.0 "," 86.2 "," 87.1 "," 89.2 "," 91.1 "," 92.8 "," 92.0 "," 88.8 "," 82.4 "," 83.7 "
"Calare","Total participants"," 1,163 "," 2,777 "," 2,764 "," 2,835 "," 2,782 "," 2,988 "," 3,615 "," 3,655 "," 4,206 "," 3,867 "," 3,981 "," 3,380 "," 2,214 "," 1,398 "," 1,022 "," 42,647 "," 90,155 "
"Calare","Eligible participants"," 1,643 "," 4,398 "," 4,399 "," 4,328 "," 4,126 "," 4,327 "," 4,910 "," 4,753 "," 5,187 "," 4,596 "," 4,529 "," 3,792 "," 2,500 "," 1,579 "," 1,233 "," 56,300 "," 115,497 "
"Calare","Participation rate (%)"," 70.8 "," 63.1 "," 62.8 "," 65.5 "," 67.4 "," 69.1 "," 73.6 "," 76.9 "," 81.1 "," 84.1 "," 87.9 "," 89.1 "," 88.6 "," 88.5 "," 82.9 "," 75.7 "," 78.1 "
"Chifley","Total participants"," 1,287 "," 3,553 "," 3,283 "," 3,256 "," 3,402 "," 3,301 "," 3,438 "," 3,378 "," 3,388 "," 2,954 "," 2,655 "," 1,963 "," 1,152 "," 692 "," 468 "," 38,170 "," 79,836 "
"Chifley","Eligible participants"," 1,828 "," 5,459 "," 5,111 "," 5,205 "," 5,302 "," 4,757 "," 4,746 "," 4,400 "," 4,280 "," 3,517 "," 3,090 "," 2,257 "," 1,331 "," 824 "," 609 "," 52,716 "," 108,016 "
"Chifley","Participation rate (%)"," 70.4 "," 65.1 "," 64.2 "," 62.6 "," 64.2 "," 69.4 "," 72.4 "," 76.8 "," 79.2 "," 84.0 "," 85.9 "," 87.0 "," 86.6 "," 84.0 "," 76.8 "," 72.4 "," 73.9 "
"Cook","Total participants"," 1,070 "," 2,871 "," 2,710 "," 2,771 "," 2,857 "," 3,249 "," 3,671 "," 3,495 "," 3,579 "," 3,280 "," 3,021 "," 2,712 "," 1,991 "," 1,496 "," 1,419 "," 40,192 "," 86,538 "
"Cook","Eligible participants"," 1,383 "," 3,855 "," 3,818 "," 3,815 "," 3,908 "," 4,317 "," 4,746 "," 4,377 "," 4,321 "," 3,789 "," 3,402 "," 2,985 "," 2,153 "," 1,655 "," 1,663 "," 50,187 "," 105,251 "
"Cook","Participation rate (%)"," 77.4 "," 74.5 "," 71.0 "," 72.6 "," 73.1 "," 75.3 "," 77.3 "," 79.8 "," 82.8 "," 86.6 "," 88.8 "," 90.9 "," 92.5 "," 90.4 "," 85.3 "," 80.1 "," 82.2 "
"Cowper","Total participants"," 1,012 "," 2,333 "," 2,251 "," 2,284 "," 2,322 "," 2,732 "," 3,221 "," 3,538 "," 4,274 "," 4,692 "," 4,908 "," 4,290 "," 2,972 "," 1,975 "," 1,650 "," 44,454 "," 96,125 "
"Cowper","Eligible participants"," 1,462 "," 3,830 "," 3,674 "," 3,489 "," 3,489 "," 3,927 "," 4,522 "," 4,619 "," 5,378 "," 5,625 "," 5,568 "," 4,732 "," 3,280 "," 2,230 "," 1,990 "," 57,815 "," 121,322 "
"Cowper","Participation rate (%)"," 69.2 "," 60.9 "," 61.3 "," 65.5 "," 66.6 "," 69.6 "," 71.2 "," 76.6 "," 79.5 "," 83.4 "," 88.1 "," 90.7 "," 90.6 "," 88.6 "," 82.9 "," 76.9 "," 79.2 "
"Cunningham","Total participants"," 1,323 "," 3,947 "," 3,427 "," 3,218 "," 3,166 "," 3,469 "," 3,656 "," 3,708 "," 3,961 "," 3,589 "," 3,174 "," 2,685 "," 1,962 "," 1,387 "," 1,229 "," 43,901 "," 93,014 "
"Cunningham","Eligible participants"," 1,718 "," 5,360 "," 4,774 "," 4,387 "," 4,328 "," 4,613 "," 4,704 "," 4,620 "," 4,769 "," 4,097 "," 3,558 "," 2,972 "," 2,159 "," 1,578 "," 1,472 "," 55,109 "," 113,621 "
"Cunningham","Participation rate (%)"," 77.0 "," 73.6 "," 71.8 "," 73.4 "," 73.2 "," 75.2 "," 77.7 "," 80.3 "," 83.1 "," 87.6 "," 89.2 "," 90.3 "," 90.9 "," 87.9 "," 83.5 "," 79.7 "," 81.9 "
"Dobell","Total participants"," 1,272 "," 3,184 "," 2,914 "," 2,898 "," 2,841 "," 3,063 "," 3,442 "," 3,443 "," 3,696 "," 3,534 "," 3,468 "," 2,973 "," 2,202 "," 1,405 "," 1,334 "," 41,669 "," 90,717 "
"Dobell","Eligible participants"," 1,718 "," 4,724 "," 4,345 "," 4,292 "," 4,260 "," 4,372 "," 4,744 "," 4,480 "," 4,544 "," 4,173 "," 3,905 "," 3,356 "," 2,435 "," 1,589 "," 1,612 "," 54,549 "," 114,992 "
"Dobell","Participation rate (%)"," 74.0 "," 67.4 "," 67.1 "," 67.5 "," 66.7 "," 70.1 "," 72.6 "," 76.9 "," 81.3 "," 84.7 "," 88.8 "," 88.6 "," 90.4 "," 88.4 "," 82.8 "," 76.4 "," 78.9 "
"Eden-Monaro","Total participants"," 973 "," 2,274 "," 2,409 "," 2,500 "," 2,559 "," 3,122 "," 3,655 "," 4,010 "," 4,462 "," 4,433 "," 4,113 "," 3,282 "," 2,142 "," 1,228 "," 915 "," 42,077 "," 88,398 "
"Eden-Monaro","Eligible participants"," 1,328 "," 3,455 "," 3,597 "," 3,686 "," 3,676 "," 4,367 "," 4,957 "," 5,097 "," 5,477 "," 5,216 "," 4,708 "," 3,669 "," 2,423 "," 1,406 "," 1,128 "," 54,190 "," 110,537 "
"Eden-Monaro","Participation rate (%)"," 73.3 "," 65.8 "," 67.0 "," 67.8 "," 69.6 "," 71.5 "," 73.7 "," 78.7 "," 81.5 "," 85.0 "," 87.4 "," 89.5 "," 88.4 "," 87.3 "," 81.1 "," 77.6 "," 80.0 "
"Farrer","Total participants"," 1,008 "," 2,759 "," 2,367 "," 2,280 "," 2,449 "," 2,683 "," 3,244 "," 3,441 "," 4,295 "," 4,131 "," 4,152 "," 3,453 "," 2,585 "," 1,678 "," 1,287 "," 41,812 "," 88,006 "
"Farrer","Eligible participants"," 1,458 "," 4,439 "," 3,839 "," 3,660 "," 3,733 "," 3,982 "," 4,541 "," 4,560 "," 5,342 "," 4,980 "," 4,757 "," 3,898 "," 2,866 "," 1,906 "," 1,539 "," 55,500 "," 113,675 "
"Farrer","Participation rate (%)"," 69.1 "," 62.2 "," 61.7 "," 62.3 "," 65.6 "," 67.4 "," 71.4 "," 75.5 "," 80.4 "," 83.0 "," 87.3 "," 88.6 "," 90.2 "," 88.0 "," 83.6 "," 75.3 "," 77.4 "
"Fowler","Total participants"," 1,031 "," 3,460 "," 2,998 "," 2,695 "," 2,564 "," 2,697 "," 3,112 "," 3,375 "," 3,708 "," 3,346 "," 2,876 "," 2,162 "," 1,437 "," 899 "," 747 "," 37,107 "," 76,857 "
"Fowler","Eligible participants"," 1,412 "," 5,120 "," 4,549 "," 4,190 "," 4,019 "," 4,096 "," 4,536 "," 4,769 "," 5,018 "," 4,271 "," 3,581 "," 2,547 "," 1,753 "," 1,123 "," 1,015 "," 51,999 "," 106,108 "
"Fowler","Participation rate (%)"," 73.0 "," 67.6 "," 65.9 "," 64.3 "," 63.8 "," 65.8 "," 68.6 "," 70.8 "," 73.9 "," 78.3 "," 80.3 "," 84.9 "," 82.0 "," 80.1 "," 73.6 "," 71.4 "," 72.4 "
"Gilmore","Total participants"," 912 "," 2,411 "," 2,201 "," 2,243 "," 2,271 "," 2,533 "," 3,024 "," 3,378 "," 4,459 "," 4,967 "," 5,395 "," 4,789 "," 3,264 "," 2,061 "," 1,550 "," 45,458 "," 96,011 "
"Gilmore","Eligible participants"," 1,284 "," 3,719 "," 3,442 "," 3,417 "," 3,364 "," 3,720 "," 4,234 "," 4,382 "," 5,473 "," 5,809 "," 6,031 "," 5,297 "," 3,612 "," 2,293 "," 1,866 "," 57,943 "," 119,120 "
"Gilmore","Participation rate (%)"," 71.0 "," 64.8 "," 63.9 "," 65.6 "," 67.5 "," 68.1 "," 71.4 "," 77.1 "," 81.5 "," 85.5 "," 89.5 "," 90.4 "," 90.4 "," 89.9 "," 83.1 "," 78.5 "," 80.6 "
"Grayndler","Total participants"," 709 "," 2,946 "," 4,569 "," 4,766 "," 4,737 "," 4,477 "," 4,299 "," 3,721 "," 3,152 "," 2,631 "," 2,313 "," 1,837 "," 1,116 "," 786 "," 659 "," 42,718 "," 91,773 "
"Grayndler","Eligible participants"," 826 "," 3,626 "," 5,589 "," 5,851 "," 5,769 "," 5,459 "," 5,199 "," 4,387 "," 3,707 "," 3,097 "," 2,680 "," 2,088 "," 1,293 "," 932 "," 864 "," 51,367 "," 107,847 "
"Grayndler","Participation rate (%)"," 85.8 "," 81.2 "," 81.7 "," 81.5 "," 82.1 "," 82.0 "," 82.7 "," 84.8 "," 85.0 "," 85.0 "," 86.3 "," 88.0 "," 86.3 "," 84.3 "," 76.3 "," 83.2 "," 85.1 "
"Greenway","Total participants"," 1,260 "," 3,163 "," 2,996 "," 3,661 "," 4,370 "," 4,190 "," 3,767 "," 3,448 "," 3,302 "," 2,796 "," 2,441 "," 1,850 "," 1,135 "," 650 "," 492 "," 39,521 "," 82,213 "
"Greenway","Eligible participants"," 1,687 "," 4,518 "," 4,374 "," 5,463 "," 6,509 "," 6,019 "," 5,053 "," 4,416 "," 4,068 "," 3,386 "," 2,791 "," 2,093 "," 1,288 "," 748 "," 596 "," 53,009 "," 107,466 "
"Greenway","Participation rate (%)"," 74.7 "," 70.0 "," 68.5 "," 67.0 "," 67.1 "," 69.6 "," 74.5 "," 78.1 "," 81.2 "," 82.6 "," 87.5 "," 88.4 "," 88.1 "," 86.9 "," 82.6 "," 74.6 "," 76.5 "
"Hughes","Total participants"," 1,346 "," 3,373 "," 3,064 "," 3,153 "," 3,439 "," 3,705 "," 3,831 "," 3,699 "," 3,765 "," 3,488 "," 3,053 "," 2,504 "," 1,562 "," 908 "," 774 "," 41,664 "," 88,080 "
"Hughes","Eligible participants"," 1,706 "," 4,400 "," 4,155 "," 4,124 "," 4,417 "," 4,811 "," 4,823 "," 4,466 "," 4,385 "," 3,904 "," 3,351 "," 2,717 "," 1,681 "," 991 "," 913 "," 50,844 "," 105,118 "
"Hughes","Participation rate (%)"," 78.9 "," 76.7 "," 73.7 "," 76.5 "," 77.9 "," 77.0 "," 79.4 "," 82.8 "," 85.9 "," 89.3 "," 91.1 "," 92.2 "," 92.9 "," 91.6 "," 84.8 "," 81.9 "," 83.8 "
"Hume","Total participants"," 1,209 "," 3,075 "," 3,057 "," 3,087 "," 3,056 "," 3,377 "," 3,713 "," 3,650 "," 3,839 "," 3,610 "," 3,452 "," 2,745 "," 1,825 "," 1,069 "," 726 "," 41,490 "," 87,768 "
"Hume","Eligible participants"," 1,665 "," 4,539 "," 4,457 "," 4,518 "," 4,440 "," 4,668 "," 4,975 "," 4,679 "," 4,705 "," 4,202 "," 3,934 "," 3,030 "," 2,038 "," 1,194 "," 876 "," 53,920 "," 111,225 "
"Hume","Participation rate (%)"," 72.6 "," 67.7 "," 68.6 "," 68.3 "," 68.8 "," 72.3 "," 74.6 "," 78.0 "," 81.6 "," 85.9 "," 87.7 "," 90.6 "," 89.5 "," 89.5 "," 82.9 "," 76.9 "," 78.9 "
"Hunter","Total participants"," 1,178 "," 3,119 "," 3,047 "," 3,259 "," 2,964 "," 3,162 "," 3,626 "," 3,684 "," 4,096 "," 3,880 "," 3,862 "," 3,307 "," 2,097 "," 1,350 "," 1,054 "," 43,686 "," 92,111 "
"Hunter","Eligible participants"," 1,653 "," 4,795 "," 4,740 "," 4,785 "," 4,449 "," 4,597 "," 4,995 "," 4,754 "," 5,049 "," 4,548 "," 4,337 "," 3,644 "," 2,297 "," 1,509 "," 1,260 "," 57,413 "," 117,364 "
"Hunter","Participation rate (%)"," 71.3 "," 65.0 "," 64.3 "," 68.1 "," 66.6 "," 68.8 "," 72.6 "," 77.5 "," 81.1 "," 85.3 "," 89.0 "," 90.8 "," 91.3 "," 89.5 "," 83.7 "," 76.1 "," 78.5 "
"Kingsford Smith","Total participants"," 1,053 "," 3,148 "," 3,420 "," 3,656 "," 3,800 "," 3,805 "," 3,751 "," 3,466 "," 3,255 "," 2,800 "," 2,517 "," 2,202 "," 1,666 "," 1,215 "," 1,027 "," 40,781 "," 88,032 "
"Kingsford Smith","Eligible participants"," 1,333 "," 4,286 "," 4,810 "," 5,119 "," 5,258 "," 5,108 "," 4,867 "," 4,358 "," 4,065 "," 3,382 "," 2,957 "," 2,538 "," 1,925 "," 1,411 "," 1,267 "," 52,684 "," 110,431 "
"Kingsford Smith","Participation rate (%)"," 79.0 "," 73.4 "," 71.1 "," 71.4 "," 72.3 "," 74.5 "," 77.1 "," 79.5 "," 80.1 "," 82.8 "," 85.1 "," 86.8 "," 86.5 "," 86.1 "," 81.1 "," 77.4 "," 79.7 "
"Lindsay","Total participants"," 1,242 "," 3,618 "," 3,668 "," 3,780 "," 3,673 "," 3,548 "," 3,524 "," 3,291 "," 3,398 "," 3,160 "," 3,096 "," 2,275 "," 1,374 "," 777 "," 538 "," 40,962 "," 87,600 "
"Lindsay","Eligible participants"," 1,750 "," 5,398 "," 5,563 "," 5,774 "," 5,447 "," 5,129 "," 4,845 "," 4,287 "," 4,239 "," 3,750 "," 3,517 "," 2,526 "," 1,538 "," 882 "," 656 "," 55,301 "," 114,555 "
"Lindsay","Participation rate (%)"," 71.0 "," 67.0 "," 65.9 "," 65.5 "," 67.4 "," 69.2 "," 72.7 "," 76.8 "," 80.2 "," 84.3 "," 88.0 "," 90.1 "," 89.3 "," 88.1 "," 82.0 "," 74.1 "," 76.5 "
"Lyne","Total participants"," 981 "," 2,018 "," 1,809 "," 1,866 "," 1,970 "," 2,445 "," 3,011 "," 3,431 "," 4,300 "," 4,830 "," 5,427 "," 5,049 "," 3,327 "," 2,147 "," 1,590 "," 44,201 "," 93,271 "
"Lyne","Eligible participants"," 1,380 "," 3,185 "," 2,831 "," 2,814 "," 2,988 "," 3,514 "," 4,162 "," 4,450 "," 5,258 "," 5,642 "," 6,038 "," 5,494 "," 3,636 "," 2,371 "," 1,871 "," 55,634 "," 114,697 "
"Lyne","Participation rate (%)"," 71.1 "," 63.4 "," 63.9 "," 66.3 "," 65.9 "," 69.6 "," 72.3 "," 77.1 "," 81.8 "," 85.6 "," 89.9 "," 91.9 "," 91.5 "," 90.6 "," 85.0 "," 79.4 "," 81.3 "
"Macarthur","Total participants"," 1,209 "," 3,522 "," 3,501 "," 3,667 "," 3,360 "," 3,418 "," 3,216 "," 3,256 "," 3,676 "," 3,289 "," 2,903 "," 2,077 "," 1,209 "," 698 "," 407 "," 39,408 "," 83,458 "
"Macarthur","Eligible participants"," 1,709 "," 5,394 "," 5,392 "," 5,528 "," 5,095 "," 4,927 "," 4,450 "," 4,285 "," 4,512 "," 3,925 "," 3,344 "," 2,355 "," 1,382 "," 799 "," 516 "," 53,613 "," 110,729 "
"Macarthur","Participation rate (%)"," 70.7 "," 65.3 "," 64.9 "," 66.3 "," 65.9 "," 69.4 "," 72.3 "," 76.0 "," 81.5 "," 83.8 "," 86.8 "," 88.2 "," 87.5 "," 87.4 "," 78.9 "," 73.5 "," 75.4 "
"Mackellar","Total participants"," 1,234 "," 3,179 "," 2,539 "," 2,461 "," 3,054 "," 3,736 "," 4,131 "," 3,937 "," 3,925 "," 3,506 "," 3,276 "," 3,035 "," 2,312 "," 1,380 "," 1,268 "," 42,973 "," 91,888 "
"Mackellar","Eligible participants"," 1,546 "," 4,102 "," 3,481 "," 3,285 "," 4,069 "," 4,838 "," 5,200 "," 4,818 "," 4,679 "," 3,992 "," 3,665 "," 3,338 "," 2,490 "," 1,545 "," 1,465 "," 52,513 "," 109,388 "
"Mackellar","Participation rate (%)"," 79.8 "," 77.5 "," 72.9 "," 74.9 "," 75.1 "," 77.2 "," 79.4 "," 81.7 "," 83.9 "," 87.8 "," 89.4 "," 90.9 "," 92.9 "," 89.3 "," 86.6 "," 81.8 "," 84.0 "
"Macquarie","Total participants"," 1,229 "," 3,100 "," 2,726 "," 2,775 "," 2,920 "," 3,141 "," 3,749 "," 3,673 "," 4,026 "," 3,808 "," 3,587 "," 2,829 "," 1,708 "," 1,032 "," 725 "," 41,028 "," 88,193 "
"Macquarie","Eligible participants"," 1,579 "," 4,306 "," 3,902 "," 3,783 "," 3,928 "," 4,230 "," 4,753 "," 4,573 "," 4,763 "," 4,338 "," 3,990 "," 3,109 "," 1,860 "," 1,145 "," 844 "," 51,103 "," 106,683 "
"Macquarie","Participation rate (%)"," 77.8 "," 72.0 "," 69.9 "," 73.4 "," 74.3 "," 74.3 "," 78.9 "," 80.3 "," 84.5 "," 87.8 "," 89.9 "," 91.0 "," 91.8 "," 90.1 "," 85.9 "," 80.3 "," 82.7 "
"McMahon","Total participants"," 1,163 "," 3,555 "," 3,394 "," 3,144 "," 3,270 "," 3,191 "," 3,335 "," 3,514 "," 3,652 "," 3,249 "," 2,896 "," 2,291 "," 1,576 "," 940 "," 719 "," 39,889 "," 83,355 "
"McMahon","Eligible participants"," 1,562 "," 4,953 "," 4,805 "," 4,578 "," 4,732 "," 4,475 "," 4,429 "," 4,495 "," 4,523 "," 3,898 "," 3,392 "," 2,585 "," 1,761 "," 1,094 "," 891 "," 52,173 "," 107,076 "
"McMahon","Participation rate (%)"," 74.5 "," 71.8 "," 70.6 "," 68.7 "," 69.1 "," 71.3 "," 75.3 "," 78.2 "," 80.7 "," 83.4 "," 85.4 "," 88.6 "," 89.5 "," 85.9 "," 80.7 "," 76.5 "," 77.8 "
"Mitchell","Total participants"," 1,304 "," 3,471 "," 2,597 "," 2,674 "," 3,417 "," 3,951 "," 4,114 "," 3,768 "," 3,560 "," 3,195 "," 2,901 "," 2,551 "," 1,635 "," 923 "," 649 "," 40,710 "," 85,940 "
"Mitchell","Eligible participants"," 1,687 "," 4,619 "," 3,624 "," 3,733 "," 4,705 "," 5,261 "," 5,216 "," 4,642 "," 4,240 "," 3,641 "," 3,244 "," 2,755 "," 1,772 "," 1,032 "," 770 "," 50,941 "," 105,376 "
"Mitchell","Participation rate (%)"," 77.3 "," 75.1 "," 71.7 "," 71.6 "," 72.6 "," 75.1 "," 78.9 "," 81.2 "," 84.0 "," 87.8 "," 89.4 "," 92.6 "," 92.3 "," 89.4 "," 84.3 "," 79.9 "," 81.6 "
"Newcastle","Total participants"," 1,210 "," 4,183 "," 4,429 "," 3,896 "," 3,578 "," 3,469 "," 3,671 "," 3,518 "," 3,827 "," 3,626 "," 3,062 "," 2,455 "," 1,660 "," 1,117 "," 1,052 "," 44,753 "," 95,389 "
"Newcastle","Eligible participants"," 1,581 "," 5,789 "," 5,948 "," 5,232 "," 4,741 "," 4,555 "," 4,714 "," 4,405 "," 4,570 "," 4,155 "," 3,417 "," 2,695 "," 1,836 "," 1,232 "," 1,235 "," 56,105 "," 115,359 "
"Newcastle","Participation rate (%)"," 76.5 "," 72.3 "," 74.5 "," 74.5 "," 75.5 "," 76.2 "," 77.9 "," 79.9 "," 83.7 "," 87.3 "," 89.6 "," 91.1 "," 90.4 "," 90.7 "," 85.2 "," 79.8 "," 82.7 "
"New England","Total participants"," 1,002 "," 2,486 "," 2,329 "," 2,381 "," 2,228 "," 2,625 "," 3,146 "," 3,422 "," 3,898 "," 4,084 "," 3,984 "," 3,419 "," 2,454 "," 1,518 "," 1,065 "," 40,041 "," 85,188 "
"New England","Eligible participants"," 1,523 "," 4,210 "," 3,941 "," 3,827 "," 3,584 "," 3,903 "," 4,388 "," 4,478 "," 4,864 "," 4,895 "," 4,511 "," 3,809 "," 2,705 "," 1,700 "," 1,244 "," 53,582 "," 110,769 "
"New England","Participation rate (%)"," 65.8 "," 59.0 "," 59.1 "," 62.2 "," 62.2 "," 67.3 "," 71.7 "," 76.4 "," 80.1 "," 83.4 "," 88.3 "," 89.8 "," 90.7 "," 89.3 "," 85.6 "," 74.7 "," 76.9 "
"North Sydney","Total participants"," 940 "," 2,729 "," 3,373 "," 3,955 "," 4,159 "," 4,008 "," 3,829 "," 3,536 "," 3,329 "," 3,041 "," 2,872 "," 2,472 "," 1,635 "," 1,007 "," 989 "," 41,874 "," 90,479 "
"North Sydney","Eligible participants"," 1,175 "," 3,473 "," 4,389 "," 5,184 "," 5,492 "," 5,087 "," 4,682 "," 4,253 "," 3,906 "," 3,468 "," 3,230 "," 2,712 "," 1,795 "," 1,125 "," 1,174 "," 51,145 "," 108,017 "
"North Sydney","Participation rate (%)"," 80.0 "," 78.6 "," 76.9 "," 76.3 "," 75.7 "," 78.8 "," 81.8 "," 83.1 "," 85.2 "," 87.7 "," 88.9 "," 91.2 "," 91.1 "," 89.5 "," 84.2 "," 81.9 "," 83.8 "
"Page","Total participants"," 1,065 "," 2,357 "," 2,108 "," 2,216 "," 2,410 "," 2,869 "," 3,380 "," 3,804 "," 4,707 "," 5,021 "," 4,888 "," 3,819 "," 2,615 "," 1,704 "," 1,309 "," 44,272 "," 93,961 "
"Page","Eligible participants"," 1,555 "," 3,872 "," 3,418 "," 3,496 "," 3,695 "," 4,179 "," 4,730 "," 5,048 "," 5,874 "," 5,985 "," 5,605 "," 4,273 "," 2,906 "," 1,908 "," 1,557 "," 58,101 "," 119,606 "
"Page","Participation rate (%)"," 68.5 "," 60.9 "," 61.7 "," 63.4 "," 65.2 "," 68.7 "," 71.5 "," 75.4 "," 80.1 "," 83.9 "," 87.2 "," 89.4 "," 90.0 "," 89.3 "," 84.1 "," 76.2 "," 78.6 "
"Parkes","Total participants"," 877 "," 2,385 "," 2,529 "," 2,426 "," 2,256 "," 2,423 "," 2,997 "," 3,274 "," 3,914 "," 3,774 "," 3,493 "," 2,922 "," 2,126 "," 1,366 "," 1,016 "," 37,778 "," 78,757 "
"Parkes","Eligible participants"," 1,387 "," 4,298 "," 4,470 "," 4,049 "," 3,727 "," 3,886 "," 4,510 "," 4,562 "," 5,187 "," 4,649 "," 4,123 "," 3,387 "," 2,457 "," 1,592 "," 1,236 "," 53,520 "," 108,534 "
"Parkes","Participation rate (%)"," 63.2 "," 55.5 "," 56.6 "," 59.9 "," 60.5 "," 62.4 "," 66.5 "," 71.8 "," 75.5 "," 81.2 "," 84.7 "," 86.3 "," 86.5 "," 85.8 "," 82.2 "," 70.6 "," 72.6 "
"Parramatta","Total participants"," 998 "," 2,912 "," 2,990 "," 3,752 "," 3,725 "," 3,417 "," 3,196 "," 3,140 "," 3,176 "," 2,790 "," 2,295 "," 1,860 "," 1,343 "," 932 "," 743 "," 37,269 "," 76,534 "
"Parramatta","Eligible participants"," 1,304 "," 4,101 "," 4,440 "," 5,893 "," 5,912 "," 5,003 "," 4,430 "," 4,177 "," 4,065 "," 3,411 "," 2,747 "," 2,128 "," 1,521 "," 1,082 "," 924 "," 51,138 "," 102,291 "
"Parramatta","Participation rate (%)"," 76.5 "," 71.0 "," 67.3 "," 63.7 "," 63.0 "," 68.3 "," 72.1 "," 75.2 "," 78.1 "," 81.8 "," 83.5 "," 87.4 "," 88.3 "," 86.1 "," 80.4 "," 72.9 "," 74.8 "
"Paterson","Total participants"," 1,166 "," 3,026 "," 3,141 "," 3,200 "," 3,100 "," 3,285 "," 3,566 "," 3,579 "," 3,864 "," 3,894 "," 3,908 "," 3,568 "," 2,308 "," 1,349 "," 925 "," 43,879 "," 93,253 "
